Job_Title,Total_Compensation
"Coordinator ",364168.00
"Postdoctoral Researcher",364036.20
"Principal Developer",364000.00
"Web Producer",364000.00
"Staff Accountant ",363500.00
"Vice President Of Operations",363500.00
"Director Of Library And Database Services",363490.00
"Research Assistant Professor",363000.00
"Associate Director Of Admissions",363000.00
"Digital Strategy Manager",362000.00
"Risk Modeler",362000.00
"Frontend Engineer",361542.40
Journalist,361314.00
"Incident Manager",361000.00
"Market Research Manager",361000.00
"Global Head Of Communications ",360775.00
"Editorial Assistant",360581.00
"Product Specialist",360412.00
Assocaite,360000.00
"Sr. Regional Sales Manager",360000.00
"Solution Consultant ",360000.00
"High School English Teacher",359380.00
"Operations Specialist",359000.00
"Vp Operations",358325.00
"Staff Technical Writer",358138.00
"Development Scientist",358125.00
"Regional Supply Chain Director",358065.00
"Product Marketing Manager ",357750.00
"Social Media Specialist",355450.00
"Support Manager",355124.00
Shareholder,355000.00
"Business Intelligence Manager",355000.00
